Correspondiente al dia de ventas-26.10.2016
		HORA		FACTURA		CODIGO		IMPORTE
	 6:17:41	|       0	|       2	|   30.00
	 11:3:11	|      18	|       2	|   30.00
	  9:4:50	|       0	|       2	|   30.00
	 5:59:31	|       3	|       2	|   30.00
	  2:2:43	|       8	|       2	|   30.00
	 8:56:15	|      14	|       2	|   30.00
	  4:6:48	|      23	|       2	|   30.00
	12:34:41	|       0	|       2	|   30.00
	 2:46:17	|      39	|       2	|   30.00
	 7:56:13	|      41	|       2	|   30.00
	 22:6:38	|      23	|       2	|   30.00
	 2:31:36	|      12	|       2	|   30.00
	20:52:24	|      55	|       2	|   30.00
	 5:27:45	|      27	|       2	|   30.00
	19:21:43	|       2	|       2	|   30.00
	22:13:30	|       4	|       2	|   30.00
	 9:50:24	|      30	|       2	|   30.00
	 8:27:24	|      55	|       2	|   30.00
	16:19:26	|      37	|       2	|   30.00
	 0:47:34	|      11	|       2	|   30.00
	 3:24:24	|      29	|       2	|   30.00
	 3:41:15	|      29	|       2	|   30.00
	 9:48:19	|       9	|       2	|   30.00
	15:58:37	|      57	|       2	|   30.00
	 15:9:24	|      58	|       2	|   30.00
	 2:57:23	|      56	|       2	|   30.00
	 2:23:17	|      19	|       2	|   30.00
	12:46:50	|      30	|       2	|   30.00
	11:43:25	|       1	|       2	|   30.00
	22:37:46	|      16	|       2	|   30.00
	 12:59:4	|       8	|       2	|   30.00
	  4:7:45	|      27	|       2	|   30.00
	 6:34:50	|      30	|       2	|   30.00
	  7:51:5	|      56	|       2	|   30.00
	16:57:52	|      26	|       2	|   30.00
	17:36:35	|      48	|       2	|   30.00
	 3:32:31	|      37	|       2	|   30.00
	 19:3:45	|      58	|       2	|   30.00
	  17:5:0	|      27	|       2	|   30.00
	  7:2:47	|      57	|       2	|   30.00
Ventas Totales del Cliente 2 = 	1200.00

Correspondiente al dia de ventas-27.10.2016
		HORA		FACTURA		CODIGO		IMPORTE
	14:29:58	|      55	|       2	|   30.00
	17:11:30	|      46	|       2	|   30.00
	   6:0:9	|       9	|       2	|   30.00
	17:33:19	|      51	|       2	|   30.00
	13:11:29	|      26	|       2	|   30.00
	21:54:29	|      59	|       2	|   30.00
	15:57:22	|      34	|       2	|   30.00
	 21:5:54	|      33	|       2	|   30.00
	 6:30:32	|      32	|       2	|   30.00
	 4:16:13	|      45	|       2	|   30.00
	20:13:25	|      28	|       2	|   30.00
	18:52:40	|      42	|       2	|   30.00
	  6:40:9	|      50	|       2	|   30.00
	 13:2:24	|      11	|       2	|   30.00
	  17:2:9	|      20	|       2	|   30.00
	17:14:16	|      34	|       2	|   30.00
	 12:55:4	|      24	|       2	|   30.00
	16:43:52	|      12	|       2	|   30.00
	  3:0:53	|      47	|       2	|   30.00
	 9:25:35	|      13	|       2	|   30.00
	 5:39:11	|      31	|       2	|   30.00
	19:43:32	|      31	|       2	|   30.00
	12:31:39	|      45	|       2	|   30.00
	 6:18:53	|       5	|       2	|   30.00
	20:59:33	|       0	|       2	|   30.00
	16:19:25	|      24	|       2	|   30.00
	15:29:51	|       5	|       2	|   30.00
	 2:56:45	|       1	|       2	|   30.00
	 19:6:49	|      23	|       2	|   30.00
	 14:3:41	|      48	|       2	|   30.00
	 9:58:16	|      43	|       2	|   30.00
	 21:4:12	|       6	|       2	|   30.00
	 17:4:23	|      24	|       2	|   30.00
	 14:9:40	|      13	|       2	|   30.00
	  1:26:3	|      13	|       2	|   30.00
	  7:2:31	|      52	|       2	|   30.00
	 1:48:28	|      48	|       2	|   30.00
	14:52:34	|      28	|       2	|   30.00
	 5:10:30	|      54	|       2	|   30.00
	  1:48:6	|      12	|       2	|   30.00
Ventas Totales del Cliente 2 = 	1200.00

