Correspondiente al dia de ventas-26.10.2016
		HORA		FACTURA		CODIGO		IMPORTE
	 9:32:55	|      46	|       3	|   30.00
	15:59:35	|      15	|       3	|   30.00
	20:46:34	|      29	|       3	|   30.00
	 4:47:22	|      38	|       3	|   30.00
	15:54:23	|      35	|       3	|   30.00
	 6:10:56	|      51	|       3	|   30.00
	 12:46:3	|      13	|       3	|   30.00
	  8:28:0	|      23	|       3	|   30.00
	  8:4:40	|      52	|       3	|   30.00
	  18:2:4	|      44	|       3	|   30.00
	 10:10:3	|       6	|       3	|   30.00
	 5:49:46	|      47	|       3	|   30.00
	 14:7:39	|      13	|       3	|   30.00
	15:59:16	|       7	|       3	|   30.00
	 3:18:58	|      59	|       3	|   30.00
	 4:16:58	|      52	|       3	|   30.00
	 6:23:43	|       4	|       3	|   30.00
	 23:8:33	|      41	|       3	|   30.00
	 15:35:2	|      43	|       3	|   30.00
	 10:6:24	|       6	|       3	|   30.00
	14:57:38	|      10	|       3	|   30.00
	 11:7:47	|      13	|       3	|   30.00
	 8:18:29	|      33	|       3	|   30.00
	 4:20:14	|      18	|       3	|   30.00
	 8:40:38	|      55	|       3	|   30.00
	22:25:56	|      30	|       3	|   30.00
	 3:11:59	|      51	|       3	|   30.00
	 11:0:19	|      52	|       3	|   30.00
	22:37:46	|      25	|       3	|   30.00
	21:25:13	|      55	|       3	|   30.00
	20:15:55	|      31	|       3	|   30.00
	 5:11:37	|      28	|       3	|   30.00
	 3:21:46	|       9	|       3	|   30.00
	 18:7:52	|      59	|       3	|   30.00
	19:35:40	|       8	|       3	|   30.00
	19:33:45	|      58	|       3	|   30.00
	 1:16:54	|      57	|       3	|   30.00
	 2:56:42	|      24	|       3	|   30.00
	11:33:52	|      26	|       3	|   30.00
	 4:46:52	|      48	|       3	|   30.00
Ventas Totales del Cliente 3 = 	1200.00

Correspondiente al dia de ventas-27.10.2016
		HORA		FACTURA		CODIGO		IMPORTE
	22:20:57	|      15	|       3	|   30.00
	 11:9:46	|      28	|       3	|   30.00
	 4:38:42	|      14	|       3	|   30.00
	10:52:27	|      48	|       3	|   30.00
	 6:22:20	|      25	|       3	|   30.00
	  2:29:8	|       1	|       3	|   30.00
	 2:26:39	|      42	|       3	|   30.00
	  9:1:36	|      21	|       3	|   30.00
	 6:23:28	|       1	|       3	|   30.00
	  0:1:16	|      26	|       3	|   30.00
	 19:5:50	|      29	|       3	|   30.00
	12:27:48	|      21	|       3	|   30.00
	 11:26:9	|      49	|       3	|   30.00
	 16:8:33	|      40	|       3	|   30.00
	 8:13:26	|      17	|       3	|   30.00
	19:28:24	|      19	|       3	|   30.00
	 20:48:0	|       3	|       3	|   30.00
	19:39:14	|      32	|       3	|   30.00
	22:11:50	|      12	|       3	|   30.00
	 16:15:3	|      56	|       3	|   30.00
	  7:10:8	|      52	|       3	|   30.00
	 12:19:2	|      35	|       3	|   30.00
	 5:46:56	|      23	|       3	|   30.00
	 8:19:31	|       8	|       3	|   30.00
	 8:13:29	|      43	|       3	|   30.00
	17:56:15	|      28	|       3	|   30.00
	  0:54:0	|      25	|       3	|   30.00
	 8:44:33	|      25	|       3	|   30.00
	  2:12:3	|      24	|       3	|   30.00
	 12:3:23	|      29	|       3	|   30.00
	 0:11:15	|      27	|       3	|   30.00
	20:34:55	|      40	|       3	|   30.00
	  8:8:35	|      41	|       3	|   30.00
	14:36:11	|      43	|       3	|   30.00
	22:45:25	|      55	|       3	|   30.00
	16:32:57	|      33	|       3	|   30.00
	10:25:39	|      49	|       3	|   30.00
	17:34:17	|      37	|       3	|   30.00
	 0:27:47	|       1	|       3	|   30.00
	22:26:18	|      35	|       3	|   30.00
Ventas Totales del Cliente 3 = 	1200.00

